ID,Sexual_Orientation,Sexual_Orientation_Description
100000000,Asexual,Not sexually attracted to anyone.
100000001,Aromantic,Not romantically attracted to anyone.
100000002,Straight,Attracted to the sex/gender opposite their own on the spectrum.
100000003,Demisexual,"Doesn't experience sexual attraction to someone unless they have a deep, emotional connection with them."
100000004,Gay,Describes a man whose sexual orientation is primarily geared towards other men.
100000005,Lesbian,Describes a woman whose sexual orientation is primarily geared towards other women.
100000006,Bisexual,Attracted to more than one gender or gender identity.
100000007,Pansexual,"Attracted to the person rather than their sex, gender, or gender identity."
